"filename", "language", "Properties", "Markdown", "JavaScript", "JSON", "JavaScript JSX", "SCSS", "CSS", "SQL", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\api.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 9, 58
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\config.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\api\internal\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\en\translation.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\index.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\ru\translation.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\config\locales\ua\translation.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\i18n\i18n.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\i18n\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\debounce\index.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\debounce\useDebounce.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\modal\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\modal\useModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\notify\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\notify\useNotify.jsx", "JavaScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 6, 66
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\redux\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\lib\redux\redux.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\check-route\CheckRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"d:\Coding\ProjectFullStack\Twinki-social\client\src\shared\ui\check-route\index.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
